Term ID,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count
21,Standard Products,standard-products,,,,,
22,Applications,applications,,,,,
10,Cylinder Filters,cylinder-filters,Plastic filter assemblies using medical grade engineered plastics with a variety of synthetic filtering medias designed for flow and particle retention requirements needed in specific medical applications of the Healthcare Industries.,21,Standard Products,standard-products,1
11,Syringe Filters,syringe-filters,"Designed for small volume HPLC, organic and aqueous sample preparation, and as part of intravenous drug delivery systems in the healthcare industry.",21,Standard Products,standard-products,
12,Adult I.V Filters,adult-i-v-filters,"Filtertek's self-priming Adult I.V. filters are designed to provide the safety, reliability, and efficiency that characterize superior patient care. Available in 0.2,1.2,Hiflo, and positively charged versions. Socket port versions are available for external connection to I.V. tubing.",21,Standard Products,standard-products,10
13,Micro-Infusion,micro-infusion,"Designed to vent air from I.V. lines and prevent bacterial contamination from reaching the patient. Available in your choice of membrane pore sizes for various applications, including critical-care neonate, pediatrics, chemotherapy, insulin-infusion and antibiotic therapy.",21,Standard Products,standard-products,8
14,Check Valves,check-valves,"Filtertek check valves use USP Class VI materials, are latex-free, and compatible with chemotherapy treatments. Primary applications include infusion systems, IV lines, and medical diagnostic equipment. For more information and to order a sample, click the product number below.",21,Standard Products,standard-products,6
15,3mm Filters,3mm-filters,"Filter inline assemblies with USP Class VI materials; plastics with a variety of synthetic filter medias; designed for strength and clarity to meet the functioning requirements in various medical, diagnostic and pharmaceutical applications.",21,Standard Products,standard-products,5
16,Vent Caps,vent-caps,Plastic encapsulated filter assemblies using medical grade engineered plastics with a variety of woven and synthetic filtering medias.,21,Standard Products,standard-products,13
17,Oxygen Filters,oxygen-filters,Plastic encapsulated filter assemblies using medical grade engineered plastics with a variety of woven and synthetic filtering medias.,21,Standard Products,standard-products,
18,Pre-Bypass Filter,pre-bypass-filter,"Designed to filter recirculating, non-cellular priming solutions for extracorporeal circuits, Filtertek's disposable Pre-bypass filters are available in 0.2 or 5 micron pore sizes. To ensure proper usage, flow direction arrows and flow restriction notes are molded into the housing.",21,Standard Products,standard-products,8
19,Transducer Protectors,transducer-protectors,Designed for air or gas venting and filtration in applications such as transducer protection. Filtertek's 17mm and 25mm hydrophobic filters are available with tubing or luer lock connections for various applications.,21,Standard Products,standard-products,10
20,Inline Filters,inline-filters,"Designed for use in a number of different applications, these products are available in various screen sizes and port configurations. The robust housing design withstands higher pressure situations and is resistant to alcohol and fuel. Customization is available in quantities over 20,000 pcs.",21,Standard Products,standard-products,4
23,Blood Administration,blood-administration,"Filtertek custom designs and manufactures various blood filtration products including micro-aggregate filters, aggregate filters, and leukocyte reduction filters. The majority of Filtertek products for blood are custom developed in cooperation with our OEM customers. However, we do manufacture cylinder filters for aggregate blood filtration as standard products. Contact a Filtertek account manager today to learn how Filtertek can provide you a custom filter or component that exceeds your expectations in every regard.

<b>Browser our Standard Products:</b>
<a href=""type.asp?group=20110"">Cylinders</a>",22,Applications,applications,
24,Cardiopulmonary,cardiopulmonary,"Cardiopulmonary bypass surgery is a procedure delivered to hundreds of thousands of patients annually. Within the system developed to effectively and safely administer this procedure, there are several areas in which filtration is an active component.<b>Browser our Standard Products:</b><a href=""type.asp?group=20900"">Pre-bypass Filters</a>",22,Applications,applications,
