product_number,mfg_number,title,long_description,short_description,image,image_file,product_details_materials_of_construction,product_details_connections,product_details_design,product_details_performance_data,product_details_packaging,product_drawings,product_drawings_files,technical_literature,technical_literature_files,category_number,categories
0063810-00-020,0063810-00-020,17mm Filter,"Designed for small volume HPLC, organic and aqueous sample preparation, and as part of intravenous drug delivery systems in the Healthcare Industry.",0.2u Hydrophilic Filter,63810ph.jpg,http://filtertek.azurewebsites.net/images/products/63810ph.jpg,"Filter Material: 0.2 micron, Acrylic Copolymer Membrane 
Housing Material: Acrylic",Type: Male-Female Luer Lock,,"Bubble point: >10 psi 
Minimum flow rate: >200 mL/min @ 1.0psi Air Flow 
Pressure rating: >75 psi 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,20320,3mm Filters
0064390-00-00C,0064390-00-00C,Transducer Protectors,Designed for air or gas venting and filtration in applications such as transducer protection. Filtertek's 17mm  and 25mm hydrophobic filters are available with tubing or luer lock connections for various applications.,17mm In-Line Filters,medtpgroupph.jpg,http://filtertek.azurewebsites.net/images/products/medtpgroupph.jpg,"Filter Material: 5 micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO",,,"Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,20910,Transducer Protectors
0066260-00-00B,7003000-007,EuroValve,"Plastic check valve assemblies using USP Class VI plastics and valves designed for strength and performance to meet the functioning requirements in infusion systems, IV lines, syringes, diagnostic equipment and other uses.",Low Opening Pressure,66260ph.jpg,http://filtertek.azurewebsites.net/images/products/66260ph.jpg,"Filter Material: Silicone Rubber Medium 
Housing Material: MABS  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Combination Fittings 
Inlet: 3mm Coaxial Coaxial 
Outlet: Male luer lock Male Luer Lock ","Overall Dimensions: 0.819"" x 0.472"" major diameter 
Valve Static Position: Normally Closed 
Position Sensitivity: None 
IP: Patent Pending ","Minimum flow rate: >200 ml/min @ 1m H20 Head Height 
Valve opening pressure: <12.5 cm Wg (5 in.) 
Usability: Disposable","Standard Pack: 12,000 parts/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",7003000drw.jpg,http://filtertek.azurewebsites.net/images/drawings/7003000drw.jpg,,,20311,Check Valves
0068030-00-000,0068030-00-000,Adult I.V. Filter,Self-priming filter uses medical grade acrylic material for clarity and strength and polyethersulfone membrane for high solution flow.,0.2u Filter,,,"Filter Material: 0.2 micron, PES Membrane 
Vent Media: .02 micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Tubing 
Inlet: 0.120"" od Male Slip 
Outlet: 0.120"" od Male Slip","Overall Dimensions: 3.20x1.33x0.2"" height (0.48"" at port) 
Effective Filtration Area: >12.0 cm2 
IP: Patented","Bubble point: >/=40 psi 
Minimum flow rate: 25 mL/min 
Maximum Operating Pressure: 40 psig 
Pressure rating: >/=40.0 psig 
Prime time: </=10 sec. 
Priming volume: 2.8 mL 
Bacterial retention: 0.2 um bacterial retention for 96 hours 
Hold up volume: 1.8 mL 
Usability: Disposable","Standard Pack: 500 parts/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,20301,Adult I.V Filters
0068040-00-000,0068040-00-000,Adult I.V. Filter,"Self-priming filter uses medical grade acrylic material for clarity and strength and polyethersulfone membrane for high solution flow. Useful in applications such as aqueous solutions, TPN solutions, drug delivery, and drug transfer.",1.2u Filter,,,"Filter Material: 1.2 micron, PES Membrane 
Vent Media: .02 micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI materials 
Drug/Fluid Compatibility: Lipids & TPN Solutions 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Tubing 
Inlet: 0.120"" od Male Slip 
Outlet: 0.120"" od Male Slip","Overall Dimensions: 3.20x1.33x0.2"" height (0.48"" at port) 
Effective Filtration Area: >12.0 cm2 
IP: Patented","Bubble point: >/=6 psi 
Minimum flow rate: 75 ml/min 
Maximum Operating Pressure: 40 psig 
Pressure rating: >45 psi 
Prime time: <10 sec. @ 36"" H2O head height 
Priming volume: 2.8 mL 
Hold up volume: 1.8 mL 
Usability: Disposable","Standard Pack: 500 parts/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications. ",,,,,20301,Adult I.V Filters
0069580-00-00B,7003110-005,EuroValve,"A normally closed check valve intended for critical infusions that uses a patented sealing mechanism. The product is manufactured from USP Class VI materials and is designed for strength and performance to meet functioning requirements in infusion systems, IV lines, syringes, & diagnostic equipment.","Low Pressure, Slip Luers",69580ph.jpg,http://filtertek.azurewebsites.net/images/products/69580ph.jpg,"Filter Material: Silicone Rubber Medium 
Housing Material: MABS  

Biological Safety: USP Class VI Materials 
Drug/Fluid Compatibility: Lipids & TPN Solutions 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Tubing 
Inlet: 3mm coaxial Coaxial 
Outlet: 3mm coaxial Coaxial","Overall Dimensions: 0.276"" x 0.118"" major diameter 
Valve Static Position: Normally Closed 
Position Sensitivity: None 
IP: Patent Pending","Minimum flow rate: >/= 200 ml/min @ 1m H20 Head Height 
Valve opening pressure: <15 cm Wg. (6 in) 
Usability: Disposable","Standard Pack: 12,000 parts/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",69580drw.jpg,http://filtertek.azurewebsites.net/images/drawings/69580drw.jpg,,,20311,Check Valves
0071070-00-100,0071070-00-100,3mm Filters,"Filter inline assemblies with USP Class VI materials; plastics with a variety of synthetic filter medias; designed for strength and clarity to meet the functioning requirements in various medical, diagnostic and pharmaceutical applications.",5.0u 3mm Filter,3mmph.jpg,http://filtertek.azurewebsites.net/images/products/3mmph.jpg,"Filter Material: 5 micron Housing 
Material: Acrylic",,,Usability: Disposable,"Standard Pack: 20,000 pcs/carton  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",8832001drw.jpg,http://filtertek.azurewebsites.net/images/drawings/8832001drw.jpg,,,20320,3mm Filters
0072780-00-010,0072780-00-010,Pre-Bypass Filters,"Designed to filter recirculating, non-cellular priming solutions for extracorporeal circuits, Filtertek's disposable Pre-bypass filters are available in 0.2 or 5 micron pore sizes. To ensure proper usage, flow direction arrows and flow restriction notes are molded into the housing.","5u Filter, 3/8""x3/8"" barbs",0072780-00-010ph.jpg,http://filtertek.azurewebsites.net/images/products/0072780-00-010ph.jpg,"Filter Material: Acrylic Copolymer Membrane 
Housing Material: Acrylic  

Biological Safety: Passes Class VI Testing 
Sterilization Compatibility: EtO","Type: Tubing 
Inlet: 3/8"" Barbed 
Outlet: 3/8"" Barbed",Effective Filtration Area: 10.8 sq. in. ,"Bubble point: 2.5 psi minimum 
Minimum flow rate: 1.14 LPM @ 2 psi 
Maximum Flow Rate: 2.46 LPM @ 10 psi 
Maximum Operating Pressure: 50 psi 
Priming volume: 100 mL 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,0072780-00drw.jpg,http://filtertek.azurewebsites.net/images/drawings/0072780-00drw.jpg,,,20900,Pre-Bypass Filter
0072780-00-110,0072780-00-110,Pre-Bypass Filters,"Designed to filter recirculating, non-cellular priming solutions for extracorporeal circuits, Filtertek's disposable Pre-bypass filters are available in 0.2 or 5 micron pore sizes. To ensure proper usage, flow direction arrows and flow restriction notes are molded into the housing.","5u Filter, 1/2""x1/2"" barbs",0072780-00-110ph.jpg,http://filtertek.azurewebsites.net/images/products/0072780-00-110ph.jpg,"Filter Material: 0.2 micron, Acrylic Copolymer Membrane 
Housing Material: Acrylic  

Biological Safety: Passes Class VI Testing 
Sterilization Compatibility: EtO ","Type: Tubing 
Inlet: 1/2"" or 3/8"" OD Barbed 
Outlet: 1/2"" or 3/8"" OD Barbed",Effective Filtration Area: 10.8 sq.in. ,"Bubble point: 2.5 psi minimum 
Minimum flow rate: 1.14 LPM @ 2 psi 
Maximum Flow Rate: 2.46 LPM @ 10 psi 
Maximum Operating Pressure: 50 psi 
Priming volume: 100 mL 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,0072780-00drw.jpg,http://filtertek.azurewebsites.net/images/drawings/0072780-00drw.jpg,,,20900,Pre-Bypass Filter
0072780-00-210,0072780-00-210,Pre-Bypass Filters,"Designed to filter recirculating, non-cellular priming solutions for extracorporeal circuits, Filtertek's disposable Pre-bypass filters are available in 0.2 or 5 micron pore sizes. To ensure proper usage, flow direction arrows and flow restriction notes are molded into the housing.","5u Filter, 3/8""x1/2"" Barbs",0072780-00-210ph.jpg,http://filtertek.azurewebsites.net/images/products/0072780-00-210ph.jpg,"Filter Material: Acrylic Copolymer Membrane 
Housing Material: Acrylic  

Biological Safety: Passes Class VI Testing 
Sterilization Compatibility: EtO","Type: Tubing 
Inlet: 3/8"" Barbed 
Outlet: 1/2"" Barbed ",Effective Filtration Area: 10.8 in. sq.,"Bubble point: 2.5 psi minimum 
Minimum flow rate: 1.14 LPM @ 2 psi 
Maximum Flow Rate: 2.46 LPM @ 10 psi 
Maximum Operating Pressure: 50 psi 
Priming volume: 100 mL 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,0072780-00drw.jpg,http://filtertek.azurewebsites.net/images/drawings/0072780-00drw.jpg,,,20900,Pre-Bypass Filter
